number,value,datetime_start,datetime_complete,duration,params_atr_period,params_channel_length,params_channel_multi,params_fast_period,params_fast_steepness,params_max_period,params_min_period,params_sl_multiplier,params_slow_period,params_slow_steepness,params_steepness,params_tp_multiplier,params_trail_multiplier,state
67,0.8262279725809042,2026-01-02 23:10:54.804473,2026-01-02 23:10:57.368172,0 days 00:00:02.563699,17,57,1.5717740611368123,3,7,27,6,1.5119543022298831,42,3,10,3.723088235629055,2.644719917844239,COMPLETE
87,0.8261296363190431,2026-01-02 23:11:38.727742,2026-01-02 23:11:40.548987,0 days 00:00:01.821245,24,55,1.8674246197473157,2,10,34,8,2.6674388433770493,41,4,8,5.298617272451622,1.7382156204529775,COMPLETE
30,0.8252935409343892,2026-01-02 23:09:19.979225,2026-01-02 23:09:22.289201,0 days 00:00:02.309976,20,60,1.62471260997212,4,5,39,3,1.756792216441943,43,4,5,1.6368503367434482,1.4397280121856757,COMPLETE
128,0.8235158731516834,2026-01-02 23:13:11.017409,2026-01-02 23:13:13.205409,0 days 00:00:02.188000,23,48,1.7364759393782387,6,10,28,9,2.7572909545217645,39,4,6,2.5595935638024168,1.4774841812149098,COMPLETE
42,0.823165855772766,2026-01-02 23:09:50.708762,2026-01-02 23:09:53.110932,0 days 00:00:02.402170,18,58,2.076567112292834,5,9,29,10,1.7151798595698498,41,2,10,4.30417536885145,1.0292094207674856,COMPLETE
158,0.8220781252259981,2026-01-02 23:14:23.173724,2026-01-02 23:14:24.901145,0 days 00:00:01.727421,17,46,2.98807115711508,4,10,29,10,3.1632232354198218,41,2,10,2.6287831210756862,1.1085902906185647,COMPLETE
7,0.8217800630813032,2026-01-02 23:08:26.228928,2026-01-02 23:08:28.505408,0 days 00:00:02.276480,16,50,2.5454656587639883,7,6,35,8,1.563547816860238,42,3,7,1.98551142146987,1.0628583713734685,COMPLETE
89,0.8211943013399762,2026-01-02 23:11:43.324270,2026-01-02 23:11:45.427347,0 days 00:00:02.103077,19,60,1.6619324905928432,2,9,29,8,1.8473074813902566,43,4,10,5.760440646634721,1.3724508906943416,COMPLETE
170,0.8203346538440046,2026-01-02 23:14:52.142834,2026-01-02 23:14:54.634381,0 days 00:00:02.491547,12,54,2.2152095987329457,3,10,27,8,3.209637186129272,45,4,10,1.6697495777907807,1.870796880947334,COMPLETE
16,0.8202083541795067,2026-01-02 23:08:48.844998,2026-01-02 23:08:51.273418,0 days 00:00:02.428420,21,53,1.9485386189211196,6,10,23,3,2.0931227187420003,41,4,7,2.964298641716705,2.4929828102360485,COMPLETE
163,0.8197367955682353,2026-01-02 23:14:34.854925,2026-01-02 23:14:37.084507,0 days 00:00:02.229582,11,47,2.080949428725287,6,10,31,8,2.92891408279076,43,2,9,2.5178324757973134,1.9319568851761804,COMPLETE
139,0.8185122664754768,2026-01-02 23:13:37.779802,2026-01-02 23:13:40.030970,0 days 00:00:02.251168,25,48,1.6498883350126272,3,10,25,7,3.7299144989746362,42,3,9,1.6240101835746557,1.322264601747618,COMPLETE
28,0.8185034116416803,2026-01-02 23:09:14.875060,2026-01-02 23:09:17.289702,0 days 00:00:02.414642,13,59,2.136792182070304,2,8,37,4,2.191790236121956,44,2,9,2.763842994720661,1.5479800351340498,COMPLETE
173,0.8183425677803724,2026-01-02 23:15:00.774718,2026-01-02 23:15:03.874456,0 days 00:00:03.099738,15,55,2.006161643246691,6,10,40,10,3.997744984519543,45,3,9,1.615437405854929,2.027678940400277,COMPLETE
