number,value,datetime_start,datetime_complete,duration,params_channel_length,params_channel_multi,params_sl_multiplier,params_tp_multiplier,params_trail_multiplier,state
192,0.899492889055391,2026-01-04 03:29:34.732338,2026-01-04 03:29:36.434415,0 days 00:00:01.702077,43,2.2483838389734387,3.708859553642886,3.162194019679121,1.214343112285783,COMPLETE
115,0.899492889055391,2026-01-04 03:26:43.002407,2026-01-04 03:26:44.779295,0 days 00:00:01.776888,36,2.025480265757879,2.104182149319531,3.521490481963704,1.2055618637904675,COMPLETE
128,0.899492889055391,2026-01-04 03:27:07.227587,2026-01-04 03:27:08.954674,0 days 00:00:01.727087,36,2.3176045305805317,2.1879778967261663,3.2922953858107826,1.2015809152246233,COMPLETE
78,0.899492889055391,2026-01-04 03:25:32.041188,2026-01-04 03:25:33.851486,0 days 00:00:01.810298,45,2.753534236461644,2.745119186578548,3.8548914485431913,1.201368502290113,COMPLETE
138,0.8991986219905694,2026-01-04 03:27:27.215195,2026-01-04 03:27:28.872230,0 days 00:00:01.657035,37,2.331540079968646,3.214367574445777,3.103728650977117,1.4266139463684728,COMPLETE
106,0.8991986219905694,2026-01-04 03:26:25.352680,2026-01-04 03:26:27.075194,0 days 00:00:01.722514,41,2.350693301505469,2.285770898109583,3.6008678526370197,1.4350871459529404,COMPLETE
81,0.8991986219905694,2026-01-04 03:25:37.884106,2026-01-04 03:25:39.749228,0 days 00:00:01.865122,43,2.55235916030197,3.499167454836774,4.024244195619425,1.4236873142078814,COMPLETE
30,0.8991986219905694,2026-01-04 03:23:48.893077,2026-01-04 03:23:51.366298,0 days 00:00:02.473221,50,2.5291643468898264,3.6768311291256404,3.111186096795767,1.4445909866837168,COMPLETE
21,0.8991986219905694,2026-01-04 03:23:26.363291,2026-01-04 03:23:28.471301,0 days 00:00:02.108010,40,2.2693491109035184,3.089153963450825,4.540574348425486,1.4222786359550457,COMPLETE
50,0.8991986219905694,2026-01-04 03:24:37.520789,2026-01-04 03:24:39.297396,0 days 00:00:01.776607,50,1.9459493520760445,3.128431924215122,3.359862461937204,1.4363010387264883,COMPLETE
